ID: 1961, Name: BRM-FLS-1006
ID: 1965, Name: BRM-FLS-1010
ID: 1882, Name: BRM-BKP-VM09
ID: 1964, Name: BRM-FLS-1009
ID: 1947, Name: BRM-DEV-TASKP01
ID: 1959, Name: BRM-FLS-1004
ID: 2007, Name: BRM-SMS-DOM03-1
ID: 1926, Name: BRM-DEV-EAF1
ID: 1985, Name: BRM-RDG-INFRA01
ID: 1934, Name: BRM-DEV-KWAFC
ID: 1935, Name: BRM-DEV-KWCWI
ID: 2012, Name: BRM-SMS-HDS04
ID: 2088, Name: BRM-TST-XMDN
ID: 2068, Name: BRM-TST-GPQS23
ID: 2032, Name: BRM-SQL-DBRICKS
ID: 2027, Name: BRM-SMS-WSUS03
ID: 2084, Name: BRM-TST-WAS02
ID: 2990, Name: BRM-SQL-DCPBG2
ID: 2085, Name: BRM-TST-WWCTC
ID: 2081, Name: BRM-TST-TAS01
ID: 2083, Name: BRM-TST-WAS01
ID: 1990, Name: BRM-RDG-KW02
ID: 1986, Name: BRM-RDG-INFRA02
ID: 2030, Name: BRM-SQL-BG2HIGH
ID: 2044, Name: BRM-TRM-BTC04
ID: 2199, Name: LDPRD01
ID: 2171, Name: HOTDEV01
ID: 2184, Name: KWEG01
ID: 2186, Name: KWHG01
ID: 2200, Name: LDPRD02
ID: 2227, Name: PVMP11P1
ID: 2233, Name: PVMP13P1
ID: 2242, Name: QSDBPP03
ID: 2306, Name: WLS12P3
ID: 2221, Name: PVMP09P1
ID: 2991, Name: BRM-APP-IZYTRON
ID: 1700, Name: AMDBTP05
ID: 741, Name: ivarprd01
ID: 1692, Name: AMDBPP06
ID: 2312, Name: WWCTCVE01
ID: 804, Name: net-serv-db-01
ID: 2324, Name: WWOFVP02
ID: 766, Name: kwvt01
ID: 3011, Name: BRM-SQL-PROFI02
ID: 2278, Name: SRVUSBDGL-05
ID: 1890, Name: BRM-CLS-0122
ID: 594, Name: brm-tst-rpa01
ID: 598, Name: brm-tst-tdb01
ID: 588, Name: brm-tst-mqit02
ID: 583, Name: brm-tst-intrex2
ID: 69, Name: ambwebvp03
ID: 1948, Name: BRM-DEV-WWCTC
ID: 3157, Name: BRM-SQL-BG1HIGH
ID: 1804, Name: BRM-APP-KWHG
ID: 1861, Name: BRM-APP-VICO
ID: 2073, Name: BRM-TST-MQ01
ID: 2956, Name: BRM-SQL-07
ID: 1808, Name: BRM-APP-MQ01
ID: 757, Name: kwilvp02
ID: 2282, Name: SWBAS069
ID: 2294, Name: TESTVT04
ID: 2288, Name: SWBLX015
ID: 2300, Name: TRTOP01
ID: 2296, Name: TotemBR1
ID: 2302, Name: TSTRHEL9
ID: 2311, Name: WWCLVE02
ID: 2323, Name: WWOFVE02
ID: 2301, Name: TRVEP01
ID: 2305, Name: WLS12P2
ID: 2307, Name: WLS12P4
ID: 2313, Name: WWFSVE02
ID: 2315, Name: WWFSVP02
ID: 2317, Name: WWKFVE02
ID: 2319, Name: WWKFVP02
ID: 45, Name: ambnim03
ID: 1668, Name: AMBMOBIL01
ID: 1691, Name: AMDBPP05
ID: 1669, Name: AMBMOBIL02
ID: 1706, Name: AMTBBREOSPC
ID: 1721, Name: BOV-DCA-05
ID: 1825, Name: BRM-APP-POFENN1
ID: 1760, Name: BRM-APP-69
ID: 1762, Name: BRM-APP-71
ID: 1827, Name: BRM-APP-QDRB1VZ
ID: 1795, Name: BRM-APP-KBBG02
ID: 1800, Name: BRM-APP-KBWW03
ID: 1770, Name: BRM-APP-BO01-N
ID: 1772, Name: BRM-APP-CMP01
ID: 1775, Name: BRM-APP-CO2
ID: 1777, Name: BRM-APP-CUSTO
ID: 1798, Name: BRM-APP-KBKWBZ
ID: 1812, Name: BRM-APP-OPL-RS
ID: 1813, Name: BRM-APP-OSPC2TH
ID: 1826, Name: BRM-APP-QDRB1IL
ID: 1881, Name: BRM-BKP-VM08
ID: 1862, Name: BRM-APP-VIFLOW
ID: 1828, Name: BRM-APP-QDRB2VZ
ID: 1846, Name: BRM-APP-TEL01
ID: 1850, Name: BRM-APP-THPLONE
